步骤		状态栈				符号栈				待输入串				ACTION GO
298		0357891214171717171717173043607588				#Bti(D){FFFFFFFw(L){				io=i;b;}rn;}#				S28：将状态28压入状态栈
300		035789121417171717171717304360758828				#Bti(D){FFFFFFFw(L){i				o=i;b;}rn;}#				S41：将状态41压入状态栈
302		03578912141717171717171730436075882841				#Bti(D){FFFFFFFw(L){io				=i;b;}rn;}#				S54：将状态54压入状态栈
304		0357891214171717171717173043607588284154				#Bti(D){FFFFFFFw(L){io=				i;b;}rn;}#				S52：将状态52压入状态栈
306		035789121417171717171717304360758828415452				#Bti(D){FFFFFFFw(L){io=i				;b;}rn;}#				r19：用J->i归约，并将状态67入栈
308		035789121417171717171717304360758828415467				#Bti(D){FFFFFFFw(L){io=J				;b;}rn;}#				S79：将状态79压入状态栈
310		03578912141717171717171730436075882841546779				#Bti(D){FFFFFFFw(L){io=J;				b;}rn;}#				r18：用I->io=J;归约，并将状态21入栈
312		035789121417171717171717304360758821				#Bti(D){FFFFFFFw(L){I				b;}rn;}#				r16：用F->I归约，并将状态17入栈
314		035789121417171717171717304360758817				#Bti(D){FFFFFFFw(L){F				b;}rn;}#				S32：将状态32压入状态栈
316		03578912141717171717171730436075881732				#Bti(D){FFFFFFFw(L){Fb				;}rn;}#				S45：将状态45压入状态栈
318		0357891214171717171717173043607588173245				#Bti(D){FFFFFFFw(L){Fb;				}rn;}#				r33：用Q->b;归约，并将状态24入栈
320		03578912141717171717171730436075881724				#Bti(D){FFFFFFFw(L){FQ				}rn;}#				r32：用F->Q归约，并将状态17入栈
322		03578912141717171717171730436075881717				#Bti(D){FFFFFFFw(L){FF				}rn;}#				324		0357891214171717171717173043607588171718				#Bti(D){FFFFFFFw(L){FF@				}rn;}#				r9：用E->@归约，并将状态36入栈
326		0357891214171717171717173043607588171736				#Bti(D){FFFFFFFw(L){FFE				}rn;}#				r8：用E->FE归约，并将状态36入栈
328		03578912141717171717171730436075881736				#Bti(D){FFFFFFFw(L){FE				}rn;}#				r8：用E->FE归约，并将状态101入栈
330		0357891214171717171717173043607588101				#Bti(D){FFFFFFFw(L){E				}rn;}#				S108：将状态108压入状态栈
332		0357891214171717171717173043607588101108				#Bti(D){FFFFFFFw(L){E}				rn;}#				r28：用M->w(L){E}归约，并将状态22入栈
334		03578912141717171717171722				#Bti(D){FFFFFFFM				rn;}#				r22：用F->M归约，并将状态17入栈
336		03578912141717171717171717				#Bti(D){FFFFFFFF				rn;}#				S26：将状态26压入状态栈
338		0357891214171717171717171726				#Bti(D){FFFFFFFFr				n;}#				S37：将状态37压入状态栈
340		035789121417171717171717172637				#Bti(D){FFFFFFFFrn				;}#				S47：将状态47压入状态栈
342		03578912141717171717171717263747				#Bti(D){FFFFFFFFrn;				}#				r11：用G->rn;归约，并将状态19入栈
344		0357891214171717171717171719				#Bti(D){FFFFFFFFG				}#				r10：用F->G归约，并将状态17入栈
346		0357891214171717171717171717				#Bti(D){FFFFFFFFF				}#				348		035789121417171717171717171718				#Bti(D){FFFFFFFFF@				}#				r9：用E->@归约，并将状态36入栈
350		035789121417171717171717171736				#Bti(D){FFFFFFFFFE				}#				r8：用E->FE归约，并将状态36入栈
352		0357891214171717171717171736				#Bti(D){FFFFFFFFE				}#				r8：用E->FE归约，并将状态36入栈
354		03578912141717171717171736				#Bti(D){FFFFFFFE				}#				r8：用E->FE归约，并将状态36入栈
356		035789121417171717171736				#Bti(D){FFFFFFE				}#				r8：用E->FE归约，并将状态36入栈
358		0357891214171717171736				#Bti(D){FFFFFE				}#				r8：用E->FE归约，并将状态36入栈
360		03578912141717171736				#Bti(D){FFFFE				}#				r8：用E->FE归约，并将状态36入栈
362		035789121417171736				#Bti(D){FFFE				}#				r8：用E->FE归约，并将状态36入栈
364		0357891214171736				#Bti(D){FFE				}#				r8：用E->FE归约，并将状态36入栈
366		03578912141736				#Bti(D){FE				}#				r8：用E->FE归约，并将状态16入栈
368		035789121416				#Bti(D){E				}#				S35：将状态35压入状态栈
370		03578912141635				#Bti(D){E}				#				r4：用B->ti(D){E}归约，并将状态3入栈
372		033				#BB				#				374		0334				#BB@				#				r3：用A->@归约，并将状态6入栈
376		0336				#BBA				#				r2：用A->BA归约，并将状态6入栈
378		036				#BA				#				r2：用A->BA归约，并将状态2入栈
380		02				#A				#				r1：用S->A归约，并将状态1入栈
382		01				#S				#				YES!
