步骤		状态栈				符号栈				待输入串				ACTION GO
54		0578912143144647792102				#ti(D){j(L){E				}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S109：将状态109压入状态栈
56		0578912143144647792102109				#ti(D){j(L){E}				k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S112：将状态112压入状态栈
58		0578912143144647792102109112				#ti(D){j(L){E}k				{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S114：将状态114压入状态栈
60		0578912143144647792102109112114				#ti(D){j(L){E}k{				ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S26：将状态26压入状态栈
62		057891214314464779210210911211426				#ti(D){j(L){E}k{r				i;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S38：将状态38压入状态栈
64		05789121431446477921021091121142638				#ti(D){j(L){E}k{ri				;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S48：将状态48压入状态栈
66		0578912143144647792102109112114263848				#ti(D){j(L){E}k{ri;				}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r12：用G->ri;归约，并将状态19入栈
68		057891214314464779210210911211419				#ti(D){j(L){E}k{G				}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r10：用F->G归约，并将状态17入栈
70		057891214314464779210210911211417				#ti(D){j(L){E}k{F				}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				72		05789121431446477921021091121141718				#ti(D){j(L){E}k{F@				}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r9：用E->@归约，并将状态36入栈
74		05789121431446477921021091121141736				#ti(D){j(L){E}k{FE				}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r8：用E->FE归约，并将状态115入栈
76		0578912143144647792102109112114115				#ti(D){j(L){E}k{E				}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S116：将状态116压入状态栈
78		0578912143144647792102109112114115116				#ti(D){j(L){E}k{E}				}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r31：用P->j(L){E}k{E}归约，并将状态23入栈
80		05789121423				#ti(D){P				}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r29：用F->P归约，并将状态17入栈
82		05789121417				#ti(D){F				}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				84		0578912141718				#ti(D){F@				}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r9：用E->@归约，并将状态36入栈
86		0578912141736				#ti(D){FE				}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r8：用E->FE归约，并将状态16入栈
88		05789121416				#ti(D){E				}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S35：将状态35压入状态栈
90		0578912141635				#ti(D){E}				ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r4：用B->ti(D){E}归约，并将状态3入栈
92		03				#B				ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S5：将状态5压入状态栈
94		035				#Bt				i(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S7：将状态7压入状态栈
96		0357				#Bti				(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S8：将状态8压入状态栈
98		03578				#Bti(				){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				100		0357811				#Bti(@				){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r7：用D->@归约，并将状态9入栈
102		035789				#Bti(D				){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S12：将状态12压入状态栈
104		03578912				#Bti(D)				{ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S14：将状态14压入状态栈
106		0357891214				#Bti(D){				ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S27：将状态27压入状态栈
108		035789121427				#Bti(D){t				i=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S39：将状态39压入状态栈
110		03578912142739				#Bti(D){ti				=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S50：将状态50压入状态栈
112		0357891214273950				#Bti(D){ti=				n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S53：将状态53压入状态栈
114		035789121427395053				#Bti(D){ti=n				;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r20：用J->n归约，并将状态65入栈
116		035789121427395065				#Bti(D){ti=J				;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S78：将状态78压入状态栈
118		03578912142739506578				#Bti(D){ti=J;				ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r15：用H->ti=J;归约，并将状态20入栈
120		035789121420				#Bti(D){H				ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r13：用F->H归约，并将状态17入栈
122		035789121417				#Bti(D){F				ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S27：将状态27压入状态栈
124		03578912141727				#Bti(D){Ft				i=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S39：将状态39压入状态栈
126		0357891214172739				#Bti(D){Fti				=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S50：将状态50压入状态栈
128		035789121417273950				#Bti(D){Fti=				n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S53：将状态53压入状态栈
130		03578912141727395053				#Bti(D){Fti=n				;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r20：用J->n归约，并将状态65入栈
132		03578912141727395065				#Bti(D){Fti=J				;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S78：将状态78压入状态栈
134		0357891214172739506578				#Bti(D){Fti=J;				ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r15：用H->ti=J;归约，并将状态20入栈
136		03578912141720				#Bti(D){FH				ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r13：用F->H归约，并将状态17入栈
138		03578912141717				#Bti(D){FF				ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S27：将状态27压入状态栈
140		0357891214171727				#Bti(D){FFt				i=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S39：将状态39压入状态栈
142		035789121417172739				#Bti(D){FFti				=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S50：将状态50压入状态栈
144		03578912141717273950				#Bti(D){FFti=				n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S53：将状态53压入状态栈
146		0357891214171727395053				#Bti(D){FFti=n				;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r20：用J->n归约，并将状态65入栈
148		0357891214171727395065				#Bti(D){FFti=J				;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S78：将状态78压入状态栈
150		035789121417172739506578				#Bti(D){FFti=J;				ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r15：用H->ti=J;归约，并将状态20入栈
152		0357891214171720				#Bti(D){FFH				ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r13：用F->H归约，并将状态17入栈
154		0357891214171717				#Bti(D){FFF				ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S27：将状态27压入状态栈
156		035789121417171727				#Bti(D){FFFt				i=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S39：将状态39压入状态栈
158		03578912141717172739				#Bti(D){FFFti				=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S50：将状态50压入状态栈
160		0357891214171717273950				#Bti(D){FFFti=				n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S53：将状态53压入状态栈
162		035789121417171727395053				#Bti(D){FFFti=n				;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r20：用J->n归约，并将状态65入栈
164		035789121417171727395065				#Bti(D){FFFti=J				;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S78：将状态78压入状态栈
166		03578912141717172739506578				#Bti(D){FFFti=J;				ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r15：用H->ti=J;归约，并将状态20入栈
168		035789121417171720				#Bti(D){FFFH				ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r13：用F->H归约，并将状态17入栈
170		035789121417171717				#Bti(D){FFFF				ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S27：将状态27压入状态栈
172		03578912141717171727				#Bti(D){FFFFt				i=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S39：将状态39压入状态栈
174		0357891214171717172739				#Bti(D){FFFFti				=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S50：将状态50压入状态栈
176		035789121417171717273950				#Bti(D){FFFFti=				n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S53：将状态53压入状态栈
178		03578912141717171727395053				#Bti(D){FFFFti=n				;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r20：用J->n归约，并将状态65入栈
180		03578912141717171727395065				#Bti(D){FFFFti=J				;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S78：将状态78压入状态栈
182		0357891214171717172739506578				#Bti(D){FFFFti=J;				ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r15：用H->ti=J;归约，并将状态20入栈
184		03578912141717171720				#Bti(D){FFFFH				ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r13：用F->H归约，并将状态17入栈
186		03578912141717171717				#Bti(D){FFFFF				ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S27：将状态27压入状态栈
188		0357891214171717171727				#Bti(D){FFFFFt				i=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S39：将状态39压入状态栈
190		035789121417171717172739				#Bti(D){FFFFFti				=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S50：将状态50压入状态栈
192		03578912141717171717273950				#Bti(D){FFFFFti=				n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S53：将状态53压入状态栈
194		0357891214171717171727395053				#Bti(D){FFFFFti=n				;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r20：用J->n归约，并将状态65入栈
196		0357891214171717171727395065				#Bti(D){FFFFFti=J				;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S78：将状态78压入状态栈
198		035789121417171717172739506578				#Bti(D){FFFFFti=J;				j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r15：用H->ti=J;归约，并将状态20入栈
200		0357891214171717171720				#Bti(D){FFFFFH				j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r13：用F->H归约，并将状态17入栈
202		0357891214171717171717				#Bti(D){FFFFFF				j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S31：将状态31压入状态栈
204		035789121417171717171731				#Bti(D){FFFFFFj				(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S44：将状态44压入状态栈
206		03578912141717171717173144				#Bti(D){FFFFFFj(				ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S62：将状态62压入状态栈
